Month,Year,Coronation_Drive_AM,Fairfield_Road_Annerley_Road_AM,Inner_City_Bypass_Eastbound_AM,Inner_City_Bypass_Westbound_AM,Ipswich_Road_Bradfield_Highway_AM,Kelvin_Grove_Road_AM,Kingsford_Smith_Drive_Breakfast_Creek_Road_AM,Logan_Road_AM,Lutwyche_Road_Bowen_Br_Road_AM,Milton_Road_AM,Moggill_Road_AM,Old_Cleveland_Road_AM,Oxley_Road_Coonan_Street_AM,Sandgate_Road_Abbotsford_Road_AM,Stanley_Street__inbound__AM,Vulture_Street__outbound__AM,Waterworks_Road_Musgrave_Road_AM,Wynnum_Road_AM,Coronation_Drive_PM,Fairfield_Road_Annerley_Road_PM,Inner_City_Bypass_Eastbound_PM,Inner_City_Bypass_Westbound_PM,Ipswich_Road_Bradfield_Highway_PM,Kelvin_Grove_Road_PM,Kingsford_Smith_Drive_Breakfast_Creek_Road_PM,Logan_Road_PM,Lutwyche_Road_Bowen_Br_Road_PM,Milton_Road_PM,Moggill_Road_PM,Old_Cleveland_Road_PM,Oxley_Road_Coonan_Street_PM,Sandgate_Road_Abbotsford_Road_PM,Stanley_Street__inbound__PM,Vulture_Street__outbound__PM,Waterworks_Road_Musgrave_Road_PM,Wynnum_Road_PM
5,2015,594,940,340,539,1282,606,650,791,578,411,429,814,1107,535,914,598,983,1723,279,726,352,409,1242,451,534,776,456,492,519,633,923,381,589,721,882,1220
6,2015,533,839,341,457,1362,520,649,769,485,381,400,669,933,439,813,567,938,1356,269,682,342,361,1185,422,525,782,427,407,445,588,816,368,530,600,844,1129
7,2015,512,751,336,353,1067,563,611,711,471,301,397,594,854,442,826,583,889,1284,277,649,335,335,1088,423,524,753,442,285,487,555,909,382,592,650,804,1121
8,2015,600,858,341,371,1170,713,692,738,566,311,402,731,1029,469,1046,581,991,1513,271,680,328,336,1082,433,528,758,417,285,475,562,873,371,534,650,790,1114
9,2015,449,674,346,364,1105,565,647,737,449,309,350,659,991,437,856,541,864,1329,269,646,343,337,1012,414,520,739,394,280,403,538,848,368,558,580,764,1015
10,2015,463,736,364,435,1226,805,710,768,511,318,360,725,1154,459,960,552,926,1579,278,649,355,335,1036,477,542,738,412,296,474,559,904,380,570,564,809,1095
11,2015,463,835,369,411,1284,637,767,728,496,325,360,764,1006,445,899,586,948,1635,266,646,356,336,1057,421,553,753,409,294,481,581,857,367,601,595,805,1093
12,2015,346,650,356,360,1019,445,786,661,406,293,333,548,784,401,645,538,768,1093,255,608,350,334,1039,393,529,755,383,283,402,517,830,357,558,524,749,1007
1,2016,320,599,346,354,996,420,669,654,405,289,328,546,739,403,614,529,697,1119,248,617,345,337,959,414,519,715,398,302,368,532,759,359,507,526,744,984
2,2016,518,885,368,463,1341,789,980,804,620,320,392,875,1115,483,1087,592,1142,1762,276,660,354,346,1154,476,540,740,462,326,467,613,967,377,632,617,866,1188
3,2016,550,885,379,513,1311,841,819,805,532,335,392,778,1296,462,1002,574,1100,1581,268,672,369,345,1226,458,530,776,476,317,448,598,928,380,588,593,818,1227
4,2016,501,822,370,426,1246,744,776,736,483,338,396,773,1119,450,840,578,918,1509,281,678,374,351,1138,448,545,751,440,338,478,612,933,373,628,604,851,1180
5,2016,530,852,358,464,1336,746,745,772,524,349,426,782,1176,480,832,574,1008,1527,278,707,374,348,1214,475,527,763,459,341,541,609,954,382,587,614,825,1218
6,2016,441,729,368,379,1264,528,688,747,571,341,367,689,927,448,710,565,918,1518,267,655,365,347,1219,444,550,745,451,309,465,609,887,377,578,565,811,1199
7,2016,436,795,359,403,1194,576,724,728,515,366,366,702,950,449,779,586,1030,1439,266,658,367,349,1184,463,545,714,480,319,497,593,995,383,623,590,818,1150
8,2016,485,917,373,506,1427,714,686,769,570,351,409,778,1351,545,648,654,1056,1670,298,684,385,357,1124,488,559,800,479,350,494,613,968,380,472,612.5,851,1224
9,2016,387,757,368,427,1199,628,669,817,477,328,377,636,995,447,681,558,848,1306,284,648,379,355,1008,445,566,810,437,300,421,579,880,377,549,635,797,1102
10,2016,466,887,371,532,1322,811,709,829,531,341,409,814,1300,506,850,588,1007,1672,295,666,372,358,1078,500,582,767,470,337,543,623,1037,381,624,560,836,1245
11,2016,484,887,374,499,1376,758,766,796,535,344,428,811,1146,548,935,579,1000,1625,287,659,362,359,1104,471,579,793,459,329,543,642,976,394,537,669,1036,1229
12,2016,338,712,359,418,1095,485,757,736,426,314,360,592,837,415,729,522,725,1188,271,620,354,357,1037,411,566,774,404,316,434,573,862,370,650,523,746,1154
1,2017,339,723,359,441,1093,558,696,753,442,309,350,674,896,429,665,561,786,1209,255,624,358,363,999,440,563,751,433,331,393,566,875,382,571,540,767,1176
2,2017,508,989,388,555,1479,836,884,805,627,358,417,960,1514,529,1053,605,1080,1790,285,672,372,370,1286,484,592,799,497,354,528,642,1027,411,666,620,833,1297
3,2017,490,1003,379,611,1592,877,935,833,629,362,433,958,1615,536,1045,605,1055,1816,308,696,375,378,1297,480,584,915,503,372,497,660,1027,403,656,610,845,1245
4,2017,382,779,366,458,1234,631,784,708,507,366,431,690,1024,487,684,582,807,1268,286,662,370,375,1326,467,593,740,463,347,463,596,1037,395,653,619,815,1296
5,2017,561,1011,368,522,1424,812,837,769,542,378,463,866,1414,546,952,583,1077,1715,320,699,384,369,1348,482,589,774,505,330,589,632,1135,398,681,642,850,1421
6,2017,476,825,374,409,1389,604,718,773,537,362,402,684,1043,483,800,563,895,1346,294,688,389,365,1249,457,567,737,483,324,445,582,1002,399,588,589,832,1244
7,2017,502,843,382,479,1247,674,724,744,559,370,416,727,1270,512,809,576,930,1428,293,681,391,371,1251,473,571,819,488,320,453,599,988,402,663,607,816,1285
8,2017,480,936,384,528,1495,704,744,806,693,360,429,786,1264,554,868,570,999,1670,305,664,395,383,1134,494,568,763,477,328,445,597,946,408,585,656,789,1203
9,2017,377,780,387,440,1265,597,702,717,474,341,395,644,1090,473,734,563,886,1409,288,636,387,382,1042,438,572,749,436,314,394,564,831,387,599,536,758,1127
10,2017,499,936,396,498,1455,782,816,948,620,387,451,871,1410,540,946,590,1100,1921,302,667,394,384,1174,500,574,819,507,339,494,638,987,398,637,590,827,1300
11,2017,495,925,405,432,1449,699,843,820,558,377,427,738,1160,545,917,599,1008,1611,298,685,388,379,1339,480,587,765,495,338,534,654,1055,395,680,598,817,1282
12,2017,313,618,385,391,1024,431,666,675,425,285,347,558,735,434,623,543,717,1128,244,616,376,375,954,380,535,704,371,274,382,585,766,364,617,535,700,1045
1,2018,346,730,379,403,1247,556,746,702,467,316,379,647,1167,466,688,540,816,1346,277,710,380,386,1098,465,560,697,395,332,437,608,922,408,585,566,794,1183
2,2018,586,1060,400,505,1700,826,862,837,700,389,452,940,1826,590,1083,595,1085,2086,320,810,402,390,1275,524,591,876,545,370,604,678,1114,404,684,638,850,1336
3,2018,532,1003,386,532,1501,819,874,909,703,401,456,992,1638,615,998,608,1196,1798,317,690,395,392,1218,498,581,812,533,354,520,666,1055,400,663,619,848,1325
4,2018,434,799,377,418,1219,691,767,845,531,360,416,728,1116,476,754,550,927,1382,299,704,396,392,1200,459,579,853,459,338,428,647,991,388,631,575,800,1253
5,2018,514,985,379,513,1447,937,799,844,689,381,462,770,1734,522,1033,591,1109,1656,312,750,404,395,1381,483,591,854,523,350,594,659,1151,432,699,658,866,1375
6,2018,494,806,388,427,1292,646,774,850,649,366,426,697,1268,503,763,602,997,1500,295,684,396,386,1248,467,585,809,470,319,464,635,951,401,642,604,816,1298
7,2018,468,780,401,420,1266,651,762,819,531,370,430,681,1104,492,777,592,919,1498,313,702,404,393,1321,474,594,777,456,335,548,625,1000,393,679,604,792,1288
8,2018,487,923,385,522,1496,777,797,832,719,375,444,805,1503,537,666,629,1034,1746,317,690,403,377,1189,485,581,879,485,324,513,666,946,392,667,604,838,1323
9,2018,398,901,372,472,1418,749,800,858,554,352,415,727,1267,451,845,599,970,1553,299,673,383,369,1107,453,574,846,432,320,420,627,911,382,644,557,788,1193
10,2018,460,952,374,535,1416,751,821,869,615,382,445,788,1455,500,876,605,1051,1746,305,692,382,370,1140,497,573,761,463,316,522,640,1047,391,677,589,796,1238
11,2018,520,942,380,503,1516,762,855,827,616,391,457,803,1207,501,946,610,1035,1777,300,692,381,368,1192,484,605,797,460,330,531,665,1007,391,705,581,811,1225
12,2018,332,716,366,398,1136,493,708,730,472,324,388,643,949,417,657,546,788,1316,281,714,363,358,1185,446,583,748,402,296,517,638,941,375,626,549,749,1143
1,2019,343,815,364,409,1302,507,715,757,489,346,389,599,852,424,781,552,740,1296,279,693,362,364,1090,454,621,830,427,324,432,621,870,378,604,572,757,1119
2,2019,540,1067,388,571,1745,869,859,893,750,393,486,1006,1723,554,1113,608,1240,1960,302,768,386,384,1258,491,642,908,505,348,558,691,1006,400,753,624,826,1236
3,2019,575,1011,617,738,1686,973,876,924,786,372,489,932,1828,542,935,589,1184,1887,334,842,430,397,1266,480,688,810,478,367,610,715,1173,410,726,634,850,1307
4,2019,384,839,514,449,1366,640,769,769,560,345,434,673,1193,471,444,458,888,1254,297,764,409,377,1238,460,667,807,456,352,527,626,960,394,427,551,796,1188
5,2019,599,1002,532,568,1589,775,939,938,702,380,488,836,1694,531,338,447,1158,1949,311,828,424,381,1318,500,659,855,525,328,677,686,1153,428,404,541,853,1302
6,2019,592,887,561,478,1482,687,794,999,672,381,471,823,1274,489,772,610,925,1570,302,828,424,362,1198,472,649,837,488,313,576,696,1099,410,656,634,822,1287
